unique_ID,minion_ID,MGI_ID_from_fastq.gz,minion_ID_mismatch_YN,MGI_ID_mismatch_YN,Anomoly_Note,original_sort_order
848255_20190228_S,,848255_20190228_S,0,0,,111
861845_20180410_S,,,0,0,,112
870007_20180306_S,,,0,0,,113
875028_20180115_S,875028_20180115_S,875028_20180115_S,0,0,,114
877469_20190115_S,,877469_20190115_S,0,0,,115
892355_20180123_S,892355_20180123_S,892355_20180123_S,0,0,,116
895293_20180502_S,895293_20180502_S,895293_20180502_S,0,0,,117
896213_20180420_S,,,0,0,,118
896213_20180427_S,,896213_20180427_S,0,0,,119
913873_20180417_S,,913873_20180417_S,0,0,,120
913873_20180423_S,,,0,0,,121
980574_20180403_S,,980574_20180403_S,0,0,,122
983493_20180123_S,983493_20180123_S,983493_20180123_S,0,0,,123
1068841_20180306_S,1068841_20180306_S,1068841_20180306_S,0,0,,124
1085876_20180227_S,,1723809_20180227_S,0,1,MGI_ID different,125
1128691_20171206_S,,1128691_20171206_S,0,0,MGI_metadata date is wrong (seq filenames and this metadata are fine),126
1128691_20171218_S,1128691_20171218_S,1128691_20171218_S,0,0,,127
1128691_20180116_S,1128691_20180116_S,1128691_20180116_S,0,0,,128
1151470_20180504_S,,,0,0,,129
1162967_20180116_S,,1162967_20180116_S,0,0,,130
1282052_20180206_S,1282052_20180206_S,1282052_20180206_S,0,0,,131
1310604_20171215_S,,,0,0,,132
1316935_20180417_S,1316935_20180417_S,1316935_20180417_S,0,0,,133
1447437_20171006_S,1447437_20171006_S,1447437_20171006_S,0,0,,134
1447437_20171212_S,1112926_20171212_S,1112926_20171212_S,1,1,DATABASE ERROR: Patient code in samples should be 1447437,135
1465461_20180406_S,,1465461_20180406_S,0,0,,136
1470026_20180502_S,1470026_20180502_S,1470026_20180502_S,0,0,,137
1553869_20180501_S,,,0,0,,138
1565754_20171128_S,1565754_20171128_S,1565754_20171128_S,0,0,,139
1565754_20180403_S,1565754_20180403_S,1565754_20180403_S,0,0,,140
1586713_20180309_S,1586713_20180309_S,1586713_20180309_S,0,0,,141
1588281_20180508_S,1598281_20180508_S,1598281_20180508_S,1,1,"Code should be 1588281, MGI_ID & minion_ID is 1598281",142
1590009_20171212_S,1255498_20171212_S,1255498_20171212_S,1,1,DATABASE ERROR: Patient code in samples should be 1590009,143
1593967_20180424_S,1593967_20180424_S,1593967_20180424_S,0,0,,144
1593973_20171005_S,,,0,0,,145
1593973_20180427_S,1593973_20180427_S,1593973_20180427_S,0,0,,146
1593973_20180504_S,1593973_20180504_S,1593973_20180504_S,0,0,,147
1593973_20180510_S,,,0,0,,148
1651490_20171010_S,1651490_20171010_S,1651490_20171010_S,0,0,,149
1651490_20171215_S,1316979_20171215_S,1316979_20171215_S,1,1,DATABASE ERROR: Patient code in samples should be 1651490,150
1651490_20180206_S,1651490_20180206_S,1651490_20180206_S,0,0,,151
1658447_20171006_S,,1658447_20171006_S,0,0,,152
1664053_20180406_S,,1664053_20180406_S,0,0,,153
1690154_20180406_S,,1690154_20180406_S,0,0,,154
1725918_20171208_S,,,0,0,,155
1834617_20180501_S,1834617_20180501_S,1834617_20180501_S,0,0,,156
1834620_20180427_S,,,0,0,,157
1834624_20171208_S,,,0,0,,158
1834624_20180116_S,,,0,0,,159
1845116_20180403_S,1845116_20180403_S,1845116_20180403_S,0,0,,160
1862551_20180123_S,,1862551_20180123_S,0,0,,161
1862551_20180309_S,,,0,0,,162
788707_20180313_S,788707_20180313_S,788707_20180313_S,0,0,Added row that was missing metadata,null
